run_id,lambda_x,lambda_y,lambda_z,stable,all_strong
1,-181.6036582234163,-245.42798089055233,11.489296961108941,False,False
2,-156.82547329069482,-202.06137067651275,31.626759550958887,False,False
3,-137.7248929133378,-117.22477272417392,36.211755360628246,False,False
4,-164.7835550074916,-303.11887193543396,31.54726933450684,False,False
5,-204.20880570277745,-304.4961131590244,39.12584931685831,False,False
6,-145.8177005797437,-212.28269713023394,16.664302734279886,False,False
7,-189.89665539905008,-237.3609278532576,40.91313290529466,False,False
8,-185.15165539056306,-111.84653885038419,10.290236487201934,False,False
9,-223.5209006537861,-257.3465422762244,38.16924221333967,False,False
10,-174.6076010212938,-132.50247638190413,35.914454514655816,False,False
11,-73.85093802100903,-129.56561732113096,10.052151236049115,False,False
12,-201.66904936454097,-292.24199756839425,32.73016287456896,False,False
13,-148.30287765893686,-272.7118408888919,39.39081713749073,False,False
14,-219.31407435342953,-164.76088331250742,49.30214418636275,False,False
15,-109.86575794376361,-109.36524501000298,10.138981836976843,False,False
16,-154.22754000084794,-261.1366075802567,29.141440739818623,False,False
17,-129.39975890286797,-233.5907022268276,16.66510302326475,False,False
18,-241.25882847139067,-177.81661697472234,30.99816202727734,False,False
19,-148.0667587093561,-138.47055962093427,17.670912574620488,False,False
20,-229.48018848022957,-247.16181688325452,40.62323965023782,False,False
21,-176.01760847184485,-138.33041873178485,67.80844894441739,False,False
22,-156.21367077508307,-198.29100692752172,25.29803409736344,False,False
23,-145.62945438288963,-276.82841983321657,52.02511779888161,False,False
24,-80.57898149126694,-123.49567083188104,28.61640735796766,False,False
25,-74.6700055761747,-123.25691669266199,29.540100529313982,False,False
26,-69.69590288090463,-304.7750566318169,10.11636406383398,False,False
27,-145.03795734620783,-240.40137235901653,36.553174944618746,False,False
28,-199.73569721294902,-261.5423292087798,23.334537846048804,False,False
29,-181.09844002804374,-202.36158692812126,59.75037484966825,False,False
30,-125.27609894693741,-275.422442589035,32.602585895031694,False,False
31,-164.42900799260207,-308.0404922159094,37.01719824371899,False,False
32,-174.6597452553787,-210.18758116693726,17.648495938606374,False,False
33,-64.23908982545706,-244.7573743693279,10.021500701287614,False,False
34,-183.47578181582216,-234.9106269085962,20.326336120215583,False,False
35,-68.69754149054486,-165.16289918348917,12.02255532621612,False,False
36,-161.6711014908039,-190.3729461995091,32.08117728969178,False,False
37,-93.38430061169718,-272.8816647887933,21.454876940499698,False,False
38,-177.36274159341662,-208.62583241433697,57.370311142982395,False,False
39,-185.6124380078689,-262.52483668582795,27.815161011483937,False,False
40,-181.90292117452978,-251.91432657932575,35.30507301778712,False,False
41,-168.38997621718246,-225.4991072388868,30.198019602385813,False,False
42,-120.77122562039756,-323.0821211548946,14.79782548607506,False,False
43,-197.77336081969366,-157.833953793303,28.705078563847643,False,False
44,-168.5734622394165,-239.28035188615664,20.590079677600112,False,False
45,-161.1531791037326,-259.7756551463472,18.359265665277103,False,False
46,-126.97130662388942,-190.72510160417326,26.957814604053222,False,False
47,-132.47364443708432,-262.4220570910178,11.962076348092356,False,False
48,-271.26305236344757,-237.80484432926946,11.072754474502148,False,False
49,-176.28117250951783,-170.60323775559556,23.943905649167256,False,False
50,-153.4972422548601,-306.42597411984326,11.939891449130432,False,False
51,-162.32466515649296,-228.3855626675645,12.698581894766447,False,False
52,-140.51877148820736,-108.15561150936934,22.60214427933267,False,False
53,-193.83835092595706,-289.1997519924618,22.982800552178407,False,False
54,-219.53395675540202,-112.24662045074254,49.75920466925268,False,False
55,-115.616792108467,-297.99062639250366,14.59510420434403,False,False
56,-199.22937056450445,-253.48408854058644,28.372045347825466,False,False
57,-193.32599432371433,-251.77834825276526,23.999693701129736,False,False
58,-89.6037673590177,-172.04279286144842,18.375739698444054,False,False
59,-192.49798154527855,-156.86190429750843,10.5155594266973,False,False
60,-205.2663158633439,-318.9983114901826,11.134187160495996,False,False
61,-228.92250676902668,-258.31098366159887,9.996130566206244,False,False
62,-145.82582324094543,-224.85167068270064,48.9076049696492,False,False
63,-179.87789708525557,-148.68197699742484,11.998567375174256,False,False
64,-321.78018283196644,-221.89281398362715,10.419114506267638,False,False
65,-195.5130664510898,-295.45535830306756,23.08292165616053,False,False
66,-171.74956810377773,-188.14439151977928,27.290388336461948,False,False
67,-69.31184060799903,-135.32222975746998,17.979011738274128,False,False
68,-70.09764050516614,-249.56032365830887,10.328439170740992,False,False
69,-122.91902428623945,-250.27394297260417,35.793276015586414,False,False
70,-151.06618832393787,-180.8724331119979,36.749842035227374,False,False
71,-109.97205496411485,-138.40987853799058,10.253338902193905,False,False
72,-159.640028300957,-216.68163540531484,15.344375815159959,False,False
73,-161.46691341488653,-177.59823124397042,64.16018078902549,False,False
74,-186.47511674612764,-287.8719173849695,14.197788246517133,False,False
75,-153.0750812861383,-151.59734415334407,32.98766697927365,False,False
76,-139.7592425069218,-221.85349261111313,30.979014893673913,False,False
77,-193.2406884458712,-304.261652442322,13.995820585512554,False,False
78,-223.14810362971141,-108.21073570005451,18.044356614855197,False,False
79,-61.455769773840245,-156.13781010664798,13.635094702042954,False,False
80,-185.66145975941163,-229.1951650088027,73.33043846417527,False,False
81,-152.5255410149401,-276.8618106885231,18.32713541313742,False,False
82,-171.9980013378016,-190.74331971854087,14.930210515964287,False,False
83,-157.24855299309382,-201.98207598432998,28.44412258049559,False,False
84,-190.53939445324426,-181.8597044432059,21.98457465733871,False,False
85,-261.80743777741765,-244.20031060966616,53.66321994878905,False,False
86,-188.9689483707085,-271.98564258973784,61.94515427116274,False,False
87,-180.46961939633582,-285.6888178086168,46.24830446551148,False,False
88,-189.71533957291223,-220.32012240682084,27.177545793480718,False,False
89,-227.15670410441493,-146.92141812231108,33.827041992178486,False,False
90,-200.94271253096974,-126.40901531593806,10.07092374611165,False,False
91,-97.6728352771791,-288.83863055246496,21.297774418584886,False,False
92,-225.26655606019116,-204.59660012819182,12.66561152916993,False,False
93,-168.41366078563817,-280.31254327893214,14.18339785769993,False,False
94,-160.0589648561814,-151.2663675113138,45.456580973608816,False,False
95,-67.47648535619187,-240.70064331050617,12.493074608822972,False,False
96,-156.9526141954607,-212.1722327262489,11.01813304573521,False,False
97,-98.7157016714703,-280.8702899387764,15.493003798590564,False,False
98,-112.10918400439625,-286.0888282683552,10.610766341549205,False,False
99,-203.88068648902444,-254.95660248357257,29.8326124663861,False,False
100,-158.6206807274997,-313.7182519604291,10.018325634880693,False,False
